date,harga_beras_nasional
2017-07-28,11383.333333333334
2017-07-29,11379.166666666666
2017-07-30,11375.0
2017-07-31,11370.833333333334
2017-08-01,11366.666666666666
2017-08-02,11362.5
2017-08-03,11358.333333333334
2017-08-04,11354.166666666666
2017-08-05,11350.0
2017-08-06,10500.0
2017-08-07,10825.0
2017-08-08,11150.0
2017-08-09,11250.0
2017-08-10,11275.0
2017-08-11,11300.0
2017-08-12,11450.0
2017-08-13,11445.833333333334
2017-08-14,11441.666666666666
2017-08-15,11437.5
2017-08-16,11433.333333333334
2017-08-17,11429.166666666666
2017-08-18,11425.0
2017-08-19,11420.833333333334
2017-08-20,11416.666666666666
2017-08-21,11412.5
2017-08-22,11408.333333333334
2017-08-23,11404.166666666666
2017-08-24,11400.0
2017-08-25,11395.833333333334
2017-08-26,11391.666666666666
2017-08-27,11387.5
2017-08-28,11383.333333333334
2017-08-29,11379.166666666666
2017-08-30,11375.0
2017-08-31,11370.833333333334
2017-09-01,11366.666666666666
2017-09-02,11362.5
2017-09-03,11358.333333333334
2017-09-04,11354.166666666666
2017-09-05,11350.0
2017-09-06,11350.0
2017-09-07,11250.0
2017-09-08,11150.0
2017-09-09,11250.0
2017-09-10,11350.0
2017-09-11,11300.0
2017-09-12,11295.652173913044
2017-09-13,11291.304347826086
2017-09-14,11286.95652173913
2017-09-15,11282.608695652174
2017-09-16,11278.260869565218
2017-09-17,11273.91304347826
2017-09-18,11269.565217391304
2017-09-19,11265.217391304348
2017-09-20,11260.869565217392
2017-09-21,11256.521739130434
2017-09-22,11252.173913043478
2017-09-23,11247.826086956522
2017-09-24,11243.478260869566
2017-09-25,11239.130434782608
2017-09-26,11234.782608695652
2017-09-27,11230.434782608696
2017-09-28,11226.08695652174
2017-09-29,11221.739130434782
2017-09-30,11217.391304347826
2017-10-01,11213.04347826087
2017-10-02,11208.695652173914
2017-10-03,11204.347826086956
2017-10-04,11200.0
2017-10-05,11350.0
2017-10-06,11225.0
2017-10-07,11100.0
2017-10-08,11150.0
2017-10-09,11250.0
2017-10-10,11350.0
2017-10-11,11350.0
2017-10-12,11341.666666666666
2017-10-13,11333.333333333334
2017-10-14,11325.0
2017-10-15,11316.666666666666
2017-10-16,11308.333333333334
2017-10-17,11300.0
2017-10-18,11291.666666666666
2017-10-19,11283.333333333334
2017-10-20,11275.0
2017-10-21,11266.666666666666
2017-10-22,11258.333333333334
2017-10-23,11250.0
2017-10-24,11241.666666666666
2017-10-25,11233.333333333334
2017-10-26,11225.0
2017-10-27,11216.666666666666
2017-10-28,11208.333333333334
2017-10-29,11200.0
2017-10-30,11191.666666666666
2017-10-31,11183.333333333334
2017-11-01,11175.0
2017-11-02,11166.666666666666
2017-11-03,11158.333333333334
2017-11-04,11150.0
2017-11-05,9700.0
2017-11-06,10350.0
2017-11-07,11000.0
2017-11-08,11200.0
2017-11-09,11250.0
2017-11-10,11300.0
2017-11-11,11375.0
2017-11-12,11450.0
2017-11-13,11445.454545454546
2017-11-14,11440.90909090909
2017-11-15,11436.363636363636
2017-11-16,11431.818181818182
2017-11-17,11427.272727272728
2017-11-18,11422.727272727272
2017-11-19,11418.181818181818
2017-11-20,11413.636363636364
2017-11-21,11409.09090909091
2017-11-22,11404.545454545454
2017-11-23,11400.0
2017-11-24,11395.454545454546
2017-11-25,11390.90909090909
2017-11-26,11386.363636363636
2017-11-27,11381.818181818182
2017-11-28,11377.272727272728
2017-11-29,11372.727272727272
2017-11-30,11368.181818181818
2017-12-01,11363.636363636364
2017-12-02,11359.09090909091
2017-12-03,11354.545454545454
2017-12-04,11350.0
2017-12-05,11350.0
2017-12-06,11300.0
2017-12-07,11050.0
2017-12-08,11150.0
2017-12-09,11250.0
2017-12-10,11300.0
2017-12-11,11375.0
2017-12-12,11450.0
2017-12-13,11430.0
2017-12-14,11410.0
2017-12-15,11390.0
2017-12-16,11370.0
2017-12-17,11350.0
2017-12-18,11330.0
2017-12-19,11310.0
2017-12-20,11290.0
2017-12-21,11270.0
2017-12-22,11250.0
2017-12-23,11230.0
2017-12-24,11210.0
2017-12-25,11190.0
2017-12-26,11170.0
2017-12-27,11150.0
2017-12-28,11130.0
2017-12-29,11110.0
2017-12-30,11090.0
2017-12-31,11070.0
2018-01-01,11050.0
2018-01-02,12050.0
2018-01-03,11950.0
2018-01-04,11325.0
2018-01-05,10700.0
2018-01-06,11016.666666666666
2018-01-07,11333.333333333334
2018-01-08,11650.0
2018-01-09,11650.0
2018-01-10,11650.0
2018-01-11,11700.0
2018-01-12,11700.0
2018-01-13,11700.0
2018-01-14,11700.0
2018-01-15,11700.0
2018-01-16,11700.0
2018-01-17,11700.0
2018-01-18,11700.0
2018-01-19,11700.0
2018-01-20,11700.0
2018-01-21,11700.0
2018-01-22,11700.0
2018-01-23,11700.0
2018-01-24,11700.0
2018-01-25,11700.0
2018-01-26,11700.0
2018-01-27,11700.0
2018-01-28,11700.0
2018-01-29,11700.0
2018-01-30,11700.0
2018-01-31,11700.0
2018-02-01,11700.0
2018-02-02,12050.0
2018-02-03,11950.0
2018-02-04,11850.0
2018-02-05,11700.0
2018-02-06,11675.0
2018-02-07,11650.0
2018-02-08,11650.0
2018-02-09,11650.0
2018-02-10,11650.0
2018-02-11,11700.0
2018-02-12,11700.0
2018-02-13,11700.0
2018-02-14,11700.0
2018-02-15,11700.0
