date,harga_beras_kateng
2017-07-30,13383.333333333334
2017-07-31,13385.185185185184
2017-08-01,13387.037037037036
2017-08-02,13388.888888888889
2017-08-03,13390.74074074074
2017-08-04,13392.592592592593
2017-08-05,13394.444444444445
2017-08-06,13396.296296296296
2017-08-07,13398.148148148148
2017-08-08,13400.0
2017-08-09,13650.0
2017-08-10,13425.0
2017-08-11,13200.0
2017-08-12,13350.0
2017-08-13,13351.851851851852
2017-08-14,13353.703703703704
2017-08-15,13355.555555555555
2017-08-16,13357.407407407407
2017-08-17,13359.25925925926
2017-08-18,13361.111111111111
2017-08-19,13362.962962962964
2017-08-20,13364.814814814816
2017-08-21,13366.666666666666
2017-08-22,13368.518518518518
2017-08-23,13370.37037037037
2017-08-24,13372.222222222223
2017-08-25,13374.074074074075
2017-08-26,13375.925925925925
2017-08-27,13377.777777777777
2017-08-28,13379.62962962963
2017-08-29,13381.481481481482
2017-08-30,13383.333333333334
2017-08-31,13385.185185185184
2017-09-01,13387.037037037036
2017-09-02,13388.888888888889
2017-09-03,13390.74074074074
2017-09-04,13392.592592592593
2017-09-05,13394.444444444445
2017-09-06,13396.296296296296
2017-09-07,13398.148148148148
2017-09-08,13400.0
2017-09-09,13316.666666666666
2017-09-10,13233.333333333334
2017-09-11,13150.0
2017-09-12,13193.478260869566
2017-09-13,13236.95652173913
2017-09-14,13280.434782608696
2017-09-15,13323.91304347826
2017-09-16,13367.391304347826
2017-09-17,13410.869565217392
2017-09-18,13454.347826086956
2017-09-19,13497.826086956522
2017-09-20,13541.304347826088
2017-09-21,13584.782608695652
2017-09-22,13628.260869565218
2017-09-23,13671.739130434782
2017-09-24,13715.217391304348
2017-09-25,13758.695652173914
2017-09-26,13802.173913043478
2017-09-27,13845.652173913044
2017-09-28,13889.130434782608
2017-09-29,13932.608695652174
2017-09-30,13976.08695652174
2017-10-01,14019.565217391304
2017-10-02,14063.04347826087
2017-10-03,14106.521739130434
2017-10-04,14150.0
2017-10-05,13950.0
2017-10-06,13750.0
2017-10-07,13550.0
2017-10-08,13400.0
2017-10-09,13250.0
2017-10-10,13100.0
2017-10-11,13142.0
2017-10-12,13184.0
2017-10-13,13226.0
2017-10-14,13268.0
2017-10-15,13310.0
2017-10-16,13352.0
2017-10-17,13394.0
2017-10-18,13436.0
2017-10-19,13478.0
2017-10-20,13520.0
2017-10-21,13562.0
2017-10-22,13604.0
2017-10-23,13646.0
2017-10-24,13688.0
2017-10-25,13730.0
2017-10-26,13772.0
2017-10-27,13814.0
2017-10-28,13856.0
2017-10-29,13898.0
2017-10-30,13940.0
2017-10-31,13982.0
2017-11-01,14024.0
2017-11-02,14066.0
2017-11-03,14108.0
2017-11-04,14150.0
2017-11-05,13866.666666666666
2017-11-06,13583.333333333334
2017-11-07,13300.0
2017-11-08,13400.0
2017-11-09,13450.0
2017-11-10,13100.0
2017-11-11,13225.0
2017-11-12,13350.0
2017-11-13,13384.09090909091
2017-11-14,13418.181818181818
2017-11-15,13452.272727272728
2017-11-16,13486.363636363636
2017-11-17,13520.454545454546
2017-11-18,13554.545454545454
2017-11-19,13588.636363636364
2017-11-20,13622.727272727272
2017-11-21,13656.818181818182
2017-11-22,13690.90909090909
2017-11-23,13725.0
2017-11-24,13759.09090909091
2017-11-25,13793.181818181818
2017-11-26,13827.272727272728
2017-11-27,13861.363636363636
2017-11-28,13895.454545454546
2017-11-29,13929.545454545454
2017-11-30,13963.636363636364
2017-12-01,13997.727272727272
2017-12-02,14031.818181818182
2017-12-03,14065.90909090909
2017-12-04,14100.0
2017-12-05,13933.333333333334
2017-12-06,13766.666666666666
2017-12-07,13600.0
2017-12-08,13433.333333333334
2017-12-09,13266.666666666666
2017-12-10,13100.0
2017-12-11,13225.0
2017-12-12,13350.0
2017-12-13,13371.42857142857
2017-12-14,13392.857142857143
2017-12-15,13414.285714285714
2017-12-16,13435.714285714286
2017-12-17,13457.142857142857
2017-12-18,13478.57142857143
2017-12-19,13500.0
2017-12-20,13521.42857142857
2017-12-21,13542.857142857143
2017-12-22,13564.285714285714
2017-12-23,13585.714285714286
2017-12-24,13607.142857142857
2017-12-25,13628.57142857143
2017-12-26,13650.0
2017-12-27,13671.42857142857
2017-12-28,13692.857142857143
2017-12-29,13714.285714285714
2017-12-30,13735.714285714286
2017-12-31,13757.142857142857
2018-01-01,13778.57142857143
2018-01-02,13800.0
2018-01-03,13800.0
2018-01-04,13670.0
2018-01-05,13540.0
2018-01-06,13410.0
2018-01-07,13280.0
2018-01-08,13150.0
2018-01-09,13125.0
2018-01-10,13100.0
2018-01-11,13000.0
2018-01-12,13014.285714285714
2018-01-13,13028.57142857143
2018-01-14,13042.857142857143
2018-01-15,13057.142857142857
2018-01-16,13071.42857142857
2018-01-17,13085.714285714286
2018-01-18,13100.0
2018-01-19,13114.285714285714
2018-01-20,13128.57142857143
2018-01-21,13142.857142857143
2018-01-22,13157.142857142857
2018-01-23,13171.42857142857
2018-01-24,13185.714285714286
2018-01-25,13200.0
2018-01-26,13214.285714285714
2018-01-27,13228.57142857143
2018-01-28,13242.857142857143
2018-01-29,13257.142857142857
2018-01-30,13271.42857142857
2018-01-31,13285.714285714286
2018-02-01,13300.0
2018-02-02,13800.0
2018-02-03,13750.0
