date,harga_beras_kateng,harga_beras_nasional,global_price,lag_nasional_1,lag_global_1,lag_nasional_3,lag_global_3,lag_nasional_7,lag_global_7,lag_nasional_30,lag_global_30,rolling_nasional_7,rolling_global_7,rolling_nasional_14,rolling_global_14,rolling_nasional_30,rolling_global_30
2017-02-07,13392.857142857143,11250.0,367.0,11350.0,367.0,11275.0,367.0,11175.0,377.0,11150.0,377.0,11264.285714285714,367.0,11182.142857142857,372.0,11048.333333333334,374.6666666666667
2017-02-08,13400.0,11150.0,367.0,11250.0,367.0,11300.0,367.0,11200.0,367.0,11216.666666666666,377.0,11257.142857142857,367.0,11191.07142857143,371.2857142857143,11046.111111111111,374.3333333333333
2017-02-09,13250.0,11225.0,367.0,11150.0,367.0,11350.0,367.0,11225.0,367.0,11283.333333333334,377.0,11257.142857142857,367.0,11203.57142857143,370.57142857142856,11044.166666666666,374.0
2017-02-10,13100.0,11300.0,367.0,11225.0,367.0,11250.0,367.0,11250.0,367.0,11350.0,377.0,11264.285714285714,367.0,11219.642857142857,369.85714285714283,11042.5,373.6666666666667
2017-02-11,13200.0,11350.0,367.0,11300.0,367.0,11150.0,367.0,11275.0,367.0,10700.0,377.0,11275.0,367.0,11237.5,369.14285714285717,11064.166666666666,373.3333333333333
2017-02-12,13220.454545454546,11361.90476190476,367.0,11350.0,367.0,11225.0,367.0,11300.0,367.0,10725.0,377.0,11283.843537414967,367.0,11254.421768707483,368.42857142857144,11085.396825396825,373.0
2017-02-13,13240.90909090909,11373.809523809525,367.0,11361.90476190476,367.0,11300.0,367.0,11350.0,367.0,10750.0,377.0,11287.244897959185,367.0,11270.408163265307,367.7142857142857,11106.190476190475,372.6666666666667
2017-02-14,13261.363636363636,11385.714285714286,367.0,11373.809523809525,367.0,11350.0,367.0,11250.0,367.0,10775.0,377.0,11306.632653061224,367.0,11285.45918367347,367.0,11126.54761904762,372.3333333333333
2017-02-15,13281.818181818182,11397.619047619048,367.0,11385.714285714286,367.0,11361.90476190476,367.0,11150.0,367.0,10800.0,377.0,11342.00680272109,367.0,11299.574829931973,367.0,11146.468253968254,372.0
2017-02-16,13302.272727272728,11409.52380952381,367.0,11397.619047619048,367.0,11373.809523809525,367.0,11225.0,367.0,10825.0,377.0,11368.367346938774,367.0,11312.755102040815,367.0,11165.95238095238,371.6666666666667
