harga_beras_kateng,date,harga_beras_nasional,lag_nasional_1,rolling_nasional_7,lag_nasional_3,rolling_nasional_14,rolling_global_30,lag_global_30,rolling_global_14,lag_global_7,global_price
13392.857142857143,2017-02-07,11250.0,11350.0,11264.285714285714,11275.0,11182.142857142857,374.6666666666667,377.0,372.0,377.0,367.0
13400.0,2017-02-08,11150.0,11250.0,11257.142857142857,11300.0,11191.07142857143,374.3333333333333,377.0,371.2857142857143,367.0,367.0
13250.0,2017-02-09,11225.0,11150.0,11257.142857142857,11350.0,11203.57142857143,374.0,377.0,370.57142857142856,367.0,367.0
13100.0,2017-02-10,11300.0,11225.0,11264.285714285714,11250.0,11219.642857142857,373.6666666666667,377.0,369.8571428571428,367.0,367.0
13200.0,2017-02-11,11350.0,11300.0,11275.0,11150.0,11237.5,373.3333333333333,377.0,369.1428571428572,367.0,367.0
13220.454545454546,2017-02-12,11361.90476190476,11350.0,11283.843537414969,11225.0,11254.421768707483,373.0,377.0,368.4285714285714,367.0,367.0
13240.90909090909,2017-02-13,11373.809523809525,11361.90476190476,11287.244897959185,11300.0,11270.408163265309,372.6666666666667,377.0,367.7142857142857,367.0,367.0
13261.363636363636,2017-02-14,11385.714285714286,11373.809523809525,11306.632653061224,11350.0,11285.45918367347,372.3333333333333,377.0,367.0,367.0,367.0
13281.818181818182,2017-02-15,11397.619047619048,11385.714285714286,11342.00680272109,11361.90476190476,11299.574829931971,372.0,377.0,367.0,367.0,367.0
13302.272727272728,2017-02-16,11409.52380952381,11397.619047619048,11368.367346938774,11373.809523809525,11312.755102040815,371.6666666666667,377.0,367.0,367.0,367.0
13322.727272727272,2017-02-17,11421.42857142857,11409.52380952381,11385.714285714286,11385.714285714286,11325.0,371.3333333333333,377.0,367.0,367.0,367.0
13343.181818181818,2017-02-18,11433.333333333334,11421.42857142857,11397.619047619048,11397.619047619048,11336.309523809525,371.0,377.0,367.0,367.0,367.0
13363.636363636364,2017-02-19,11445.238095238095,11433.333333333334,11409.523809523807,11409.52380952381,11346.683673469388,370.6666666666667,377.0,367.0,367.0,367.0
13384.09090909091,2017-02-20,11457.142857142857,11445.238095238095,11421.42857142857,11421.42857142857,11354.336734693878,370.3333333333333,377.0,367.0,367.0,367.0
13404.545454545454,2017-02-21,11469.047619047618,11457.142857142857,11433.333333333334,11433.333333333334,11369.982993197278,370.0,377.0,367.0,367.0,367.0
13425.0,2017-02-22,11480.952380952382,11469.047619047618,11445.238095238095,11445.238095238095,11393.622448979591,369.6666666666667,377.0,367.0,367.0,367.0
13445.454545454546,2017-02-23,11492.857142857143,11480.952380952382,11457.142857142857,11457.142857142857,11412.755102040815,369.3333333333333,377.0,367.0,367.0,367.0
13465.90909090909,2017-02-24,11504.761904761905,11492.857142857143,11469.047619047618,11469.047619047618,11427.380952380952,369.0,377.0,367.0,367.0,367.0
13486.363636363636,2017-02-25,11516.666666666666,11504.761904761905,11480.952380952382,11480.952380952382,11439.285714285714,368.6666666666667,377.0,367.0,367.0,367.0
13506.818181818182,2017-02-26,11528.57142857143,11516.666666666666,11492.857142857143,11492.857142857143,11451.190476190475,368.3333333333333,377.0,367.0,367.0,367.0
13527.272727272728,2017-02-27,11540.47619047619,11528.57142857143,11504.761904761905,11504.761904761905,11463.095238095237,368.0,377.0,367.0,367.0,367.0
13547.727272727272,2017-02-28,11552.380952380952,11540.47619047619,11516.666666666666,11516.666666666666,11475.0,367.6666666666667,377.0,367.0,367.0,367.0
13568.181818181818,2017-03-01,11564.285714285714,11552.380952380952,11528.57142857143,11528.57142857143,11486.90476190476,367.4333333333333,377.0,367.2142857142857,367.0,370.0
13588.636363636364,2017-03-02,11576.190476190475,11564.285714285714,11540.476190476193,11540.47619047619,11498.809523809525,367.2,377.0,367.4285714285714,367.0,370.0
13609.09090909091,2017-03-03,11588.09523809524,11576.190476190475,11552.380952380952,11552.380952380952,11510.714285714286,367.3,367.0,367.6428571428572,367.0,370.0
13629.545454545454,2017-03-04,11600.0,11588.09523809524,11564.285714285714,11564.285714285714,11522.619047619048,367.4,367.0,367.8571428571428,367.0,370.0
13650.0,2017-03-05,11250.0,11600.0,11524.489795918367,11576.190476190475,11508.673469387755,367.5,367.0,368.07142857142856,367.0,370.0
13566.666666666666,2017-03-06,11300.0,11250.0,11490.13605442177,11588.09523809524,11497.448979591836,367.6,367.0,368.2857142857143,367.0,370.0
13483.333333333334,2017-03-07,11350.0,11300.0,11461.22448979592,11600.0,11488.945578231293,367.7,367.0,368.5,367.0,370.0
13400.0,2017-03-08,11150.0,11350.0,11402.04081632653,11250.0,11465.30612244898,367.8,367.0,368.7142857142857,370.0,370.0
13250.0,2017-03-09,11225.0,11150.0,11351.87074829932,11300.0,11446.173469387755,367.9,367.0,368.9285714285714,370.0,370.0
13100.0,2017-03-10,11300.0,11225.0,11310.714285714286,11350.0,11431.547619047618,368.0,367.0,369.1428571428572,370.0,370.0
13200.0,2017-03-11,11350.0,11300.0,11275.0,11150.0,11419.642857142857,368.1,367.0,369.3571428571428,370.0,370.0
13235.185185185184,2017-03-12,11339.583333333334,11350.0,11287.797619047618,11225.0,11406.143707482994,368.2,367.0,369.57142857142856,370.0,370.0
13270.37037037037,2017-03-13,11329.166666666666,11339.583333333334,11291.964285714286,11300.0,11391.050170068029,368.3,367.0,369.7857142857143,370.0,370.0
13305.555555555557,2017-03-14,11318.75,11329.166666666666,11287.5,11350.0,11374.36224489796,368.4,367.0,370.0,370.0,370.0
13340.74074074074,2017-03-15,11308.333333333334,11318.75,11310.119047619048,11339.583333333334,11356.07993197279,368.5,367.0,370.0,370.0,370.0
13375.925925925923,2017-03-16,11297.916666666666,11308.333333333334,11320.535714285714,11329.166666666666,11336.203231292517,368.6,367.0,370.0,370.0,370.0
13411.111111111111,2017-03-17,11287.5,11297.916666666666,11318.75,11318.75,11314.732142857143,368.7,367.0,370.0,370.0,370.0
13446.296296296296,2017-03-18,11277.083333333334,11287.5,11308.333333333332,11308.333333333334,11291.666666666668,368.8,367.0,370.0,370.0,370.0
13481.481481481482,2017-03-19,11266.666666666666,11277.083333333334,11297.916666666668,11297.916666666666,11292.857142857143,368.9,367.0,370.0,370.0,370.0
13516.666666666666,2017-03-20,11256.25,11266.666666666666,11287.5,11287.5,11289.732142857143,369.0,367.0,370.0,370.0,370.0
13551.851851851852,2017-03-21,11245.833333333334,11256.25,11277.083333333332,11277.083333333334,11282.291666666668,369.1,367.0,370.0,370.0,370.0
13587.037037037036,2017-03-22,11235.416666666666,11245.833333333334,11266.666666666668,11266.666666666666,11288.392857142857,369.2,367.0,370.0,370.0,370.0
13622.222222222224,2017-03-23,11225.0,11235.416666666666,11256.25,11256.25,11288.392857142857,369.3,367.0,370.0,370.0,370.0
13657.407407407409,2017-03-24,11214.583333333334,11225.0,11245.833333333332,11245.833333333334,11282.291666666668,369.4,367.0,370.0,370.0,370.0
13692.592592592591,2017-03-25,11204.166666666666,11214.583333333334,11235.416666666668,11235.416666666666,11271.875,369.5,367.0,370.0,370.0,370.0
13727.777777777776,2017-03-26,11193.75,11204.166666666666,11225.0,11225.0,11261.458333333332,369.6,367.0,370.0,370.0,370.0
13762.962962962964,2017-03-27,11183.333333333334,11193.75,11214.583333333332,11214.583333333334,11251.041666666668,369.7,367.0,370.0,370.0,370.0
13798.148148148148,2017-03-28,11172.916666666666,11183.333333333334,11204.166666666668,11204.166666666666,11240.625,369.8,367.0,370.0,370.0,370.0
13833.333333333334,2017-03-29,11162.5,11172.916666666666,11193.75,11193.75,11230.208333333332,369.9,367.0,370.0,370.0,370.0
13868.518518518518,2017-03-30,11152.083333333334,11162.5,11183.333333333332,11183.333333333334,11219.791666666668,370.0,367.0,370.0,370.0,370.0
13903.703703703704,2017-03-31,11141.666666666666,11152.083333333334,11172.916666666668,11172.916666666666,11209.375,370.0,370.0,370.0,370.0,370.0
13938.888888888889,2017-04-01,11131.25,11141.666666666666,11162.5,11162.5,11198.958333333332,370.3333333333333,370.0,370.7142857142857,370.0,380.0
13974.074074074077,2017-04-02,11120.833333333334,11131.25,11152.083333333332,11152.083333333334,11188.541666666668,370.6666666666667,370.0,371.4285714285714,370.0,380.0
14009.25925925926,2017-04-03,11110.416666666666,11120.833333333334,11141.666666666668,11141.666666666666,11178.125,371.0,370.0,372.1428571428572,370.0,380.0
14044.444444444443,2017-04-04,11100.0,11110.416666666666,11131.25,11131.25,11167.708333333332,371.3333333333333,370.0,372.8571428571428,370.0,380.0
14079.62962962963,2017-04-05,11300.0,11100.0,11150.892857142857,11120.833333333334,11172.32142857143,371.6666666666667,370.0,373.57142857142856,370.0,380.0
14114.814814814816,2017-04-06,11200.0,11300.0,11157.738095238095,11110.416666666666,11170.535714285714,372.0,370.0,374.2857142857143,370.0,380.0
14150.0,2017-04-07,11100.0,11200.0,11151.785714285714,11100.0,11162.351190476187,372.3333333333333,370.0,375.0,370.0,380.0
13400.0,2017-04-08,11250.0,11100.0,11168.75,11300.0,11165.625,372.6666666666667,370.0,375.7142857142857,380.0,380.0
13400.0,2017-04-09,11200.0,11250.0,11180.059523809525,11200.0,11166.07142857143,373.0,370.0,376.4285714285714,380.0,380.0
13100.0,2017-04-10,11300.0,11200.0,11207.142857142857,11100.0,11174.40476190476,373.3333333333333,370.0,377.1428571428572,380.0,380.0
13175.0,2017-04-11,11350.0,11300.0,11242.857142857143,11250.0,11187.05357142857,373.6666666666667,370.0,377.8571428571428,380.0,380.0
13250.0,2017-04-12,11400.0,11350.0,11257.142857142857,11200.0,11204.017857142857,374.0,370.0,378.57142857142856,380.0,380.0
13267.391304347826,2017-04-13,11397.727272727272,11400.0,11285.38961038961,11300.0,11221.563852813852,374.3333333333333,370.0,379.2857142857143,380.0,380.0
13284.782608695652,2017-04-14,11395.454545454546,11397.727272727272,11327.597402597405,11350.0,11239.691558441558,374.6666666666667,370.0,380.0,380.0,380.0
13302.173913043478,2017-04-15,11393.181818181818,11395.454545454546,11348.051948051949,11400.0,11258.400974025975,375.0,370.0,380.0,380.0,380.0
13319.565217391304,2017-04-16,11390.90909090909,11393.181818181818,11375.324675324677,11397.727272727272,11277.6920995671,375.3333333333333,370.0,380.0,380.0,380.0
13336.95652173913,2017-04-17,11388.636363636364,11390.90909090909,11387.987012987012,11395.454545454546,11297.564935064936,375.6666666666667,370.0,380.0,380.0,380.0
13354.347826086956,2017-04-18,11386.363636363636,11388.636363636364,11393.181818181818,11393.181818181818,11318.01948051948,376.0,370.0,380.0,380.0,380.0
13371.739130434782,2017-04-19,11384.09090909091,11386.363636363636,11390.90909090909,11390.90909090909,11324.025974025975,376.3333333333333,370.0,380.0,380.0,380.0
13389.130434782608,2017-04-20,11381.818181818182,11384.09090909091,11388.636363636364,11388.636363636364,11337.012987012988,376.6666666666667,370.0,380.0,380.0,380.0
13406.521739130434,2017-04-21,11379.545454545454,11381.818181818182,11386.363636363634,11386.363636363636,11356.98051948052,377.0,370.0,380.0,380.0,380.0
13423.91304347826,2017-04-22,11377.272727272728,11379.545454545454,11384.09090909091,11384.09090909091,11366.07142857143,377.3333333333333,370.0,380.0,380.0,380.0
