date,harga_beras_kateng,harga_beras_nasional,global_price
2017-01-08,13400.0,11150.0,377.0
2017-01-09,13333.333333333334,11216.666666666666,377.0
2017-01-10,13266.666666666666,11283.333333333334,377.0
2017-01-11,13200.0,11350.0,377.0
2017-01-12,13207.142857142857,10700.0,377.0
2017-01-13,13214.285714285714,10725.0,377.0
2017-01-14,13221.42857142857,10750.0,377.0
2017-01-15,13228.57142857143,10775.0,377.0
2017-01-16,13235.714285714286,10800.0,377.0
2017-01-17,13242.857142857143,10825.0,377.0
2017-01-18,13250.0,10850.0,377.0
2017-01-19,13257.142857142857,10875.0,377.0
2017-01-20,13264.285714285714,10900.0,377.0
2017-01-21,13271.42857142857,10925.0,377.0
2017-01-22,13278.57142857143,10950.0,377.0
2017-01-23,13285.714285714286,10975.0,377.0
2017-01-24,13292.857142857143,11000.0,377.0
2017-01-25,13300.0,11025.0,377.0
2017-01-26,13307.142857142857,11050.0,377.0
2017-01-27,13314.285714285714,11075.0,377.0
2017-01-28,13321.42857142857,11100.0,377.0
2017-01-29,13328.57142857143,11125.0,377.0
2017-01-30,13335.714285714286,11150.0,377.0
2017-01-31,13342.857142857143,11175.0,377.0
2017-02-01,13350.0,11200.0,367.0
2017-02-02,13357.142857142857,11225.0,367.0
2017-02-03,13364.285714285714,11250.0,367.0
2017-02-04,13371.42857142857,11275.0,367.0
2017-02-05,13378.57142857143,11300.0,367.0
2017-02-06,13385.714285714286,11350.0,367.0
2017-02-07,13392.857142857143,11250.0,367.0
2017-02-08,13400.0,11150.0,367.0
2017-02-09,13250.0,11225.0,367.0
2017-02-10,13100.0,11300.0,367.0
2017-02-11,13200.0,11350.0,367.0
2017-02-12,13220.454545454546,11361.90476190476,367.0
2017-02-13,13240.90909090909,11373.809523809525,367.0
2017-02-14,13261.363636363636,11385.714285714286,367.0
2017-02-15,13281.818181818182,11397.619047619048,367.0
2017-02-16,13302.272727272728,11409.52380952381,367.0
2017-02-17,13322.727272727272,11421.42857142857,367.0
2017-02-18,13343.181818181818,11433.333333333334,367.0
2017-02-19,13363.636363636364,11445.238095238095,367.0
2017-02-20,13384.09090909091,11457.142857142857,367.0
2017-02-21,13404.545454545454,11469.047619047618,367.0
2017-02-22,13425.0,11480.952380952382,367.0
2017-02-23,13445.454545454546,11492.857142857143,367.0
2017-02-24,13465.90909090909,11504.761904761905,367.0
2017-02-25,13486.363636363636,11516.666666666666,367.0
2017-02-26,13506.818181818182,11528.57142857143,367.0
2017-02-27,13527.272727272728,11540.47619047619,367.0
2017-02-28,13547.727272727272,11552.380952380952,367.0
2017-03-01,13568.181818181818,11564.285714285714,370.0
2017-03-02,13588.636363636364,11576.190476190475,370.0
2017-03-03,13609.09090909091,11588.09523809524,370.0
2017-03-04,13629.545454545454,11600.0,370.0
2017-03-05,13650.0,11250.0,370.0
2017-03-06,13566.666666666666,11300.0,370.0
2017-03-07,13483.333333333334,11350.0,370.0
2017-03-08,13400.0,11150.0,370.0
2017-03-09,13250.0,11225.0,370.0
2017-03-10,13100.0,11300.0,370.0
2017-03-11,13200.0,11350.0,370.0
2017-03-12,13235.185185185184,11339.583333333334,370.0
2017-03-13,13270.37037037037,11329.166666666666,370.0
2017-03-14,13305.555555555557,11318.75,370.0
2017-03-15,13340.74074074074,11308.333333333334,370.0
2017-03-16,13375.925925925923,11297.916666666666,370.0
2017-03-17,13411.111111111111,11287.5,370.0
2017-03-18,13446.296296296296,11277.083333333334,370.0
2017-03-19,13481.481481481482,11266.666666666666,370.0
2017-03-20,13516.666666666666,11256.25,370.0
2017-03-21,13551.851851851852,11245.833333333334,370.0
2017-03-22,13587.037037037036,11235.416666666666,370.0
2017-03-23,13622.222222222224,11225.0,370.0
2017-03-24,13657.407407407409,11214.583333333334,370.0
2017-03-25,13692.592592592591,11204.166666666666,370.0
2017-03-26,13727.777777777776,11193.75,370.0
2017-03-27,13762.962962962964,11183.333333333334,370.0
2017-03-28,13798.148148148148,11172.916666666666,370.0
2017-03-29,13833.333333333334,11162.5,370.0
2017-03-30,13868.518518518518,11152.083333333334,370.0
2017-03-31,13903.703703703704,11141.666666666666,370.0
2017-04-01,13938.888888888889,11131.25,380.0
2017-04-02,13974.074074074077,11120.833333333334,380.0
2017-04-03,14009.25925925926,11110.416666666666,380.0
2017-04-04,14044.444444444443,11100.0,380.0
2017-04-05,14079.62962962963,11300.0,380.0
2017-04-06,14114.814814814816,11200.0,380.0
2017-04-07,14150.0,11100.0,380.0
2017-04-08,13400.0,11250.0,380.0
2017-04-09,13400.0,11200.0,380.0
2017-04-10,13100.0,11300.0,380.0
2017-04-11,13175.0,11350.0,380.0
2017-04-12,13250.0,11400.0,380.0
2017-04-13,13267.391304347826,11397.727272727272,380.0
2017-04-14,13284.782608695652,11395.454545454546,380.0
2017-04-15,13302.173913043478,11393.181818181818,380.0
2017-04-16,13319.565217391304,11390.90909090909,380.0
2017-04-17,13336.95652173913,11388.636363636364,380.0
2017-04-18,13354.347826086956,11386.363636363636,380.0
2017-04-19,13371.739130434782,11384.09090909091,380.0
2017-04-20,13389.130434782608,11381.818181818182,380.0
2017-04-21,13406.521739130434,11379.545454545454,380.0
2017-04-22,13423.91304347826,11377.272727272728,380.0
2017-04-23,13441.304347826086,11375.0,380.0
2017-04-24,13458.695652173914,11372.727272727272,380.0
2017-04-25,13476.08695652174,11370.454545454546,380.0
2017-04-26,13493.478260869566,11368.181818181818,380.0
2017-04-27,13510.869565217392,11365.90909090909,380.0
2017-04-28,13528.260869565218,11363.636363636364,380.0
2017-04-29,13545.652173913044,11361.363636363636,380.0
2017-04-30,13563.04347826087,11359.09090909091,380.0
2017-05-01,13580.434782608696,11356.818181818182,421.0
2017-05-02,13597.826086956522,11354.545454545454,421.0
2017-05-03,13615.217391304348,11352.272727272728,421.0
2017-05-04,13632.608695652174,11350.0,421.0
2017-05-05,13650.0,11300.0,421.0
2017-05-06,13850.0,11350.0,421.0
2017-05-07,14050.0,11150.0,421.0
2017-05-08,13725.0,11200.0,421.0
