date,harga_beras_kateng,harga_beras_nasional,lag_nasional_1,rolling_nasional_7,lag_nasional_3,rolling_nasional_14,rolling_global_30,lag_global_30,rolling_global_14,lag_global_7,global_price
2017-02-07,13392.857142857143,-0.9405426579036673,-0.8722442843101818,-0.9337797590512603,-0.9220553985265332,-0.9926268452256612,-1.3252135492405939,-1.2712376477659872,-1.3594223113535524,-1.2829740818533946,-1.4265708199079419
2017-02-08,13400.0,-1.0083212044645853,-0.9400457999325654,-0.9386494566727022,-0.9050932472240847,-0.9865026917703859,-1.3298876872066445,-1.2712376477659872,-1.3694006118827322,-1.421975334522524,-1.4265708199079419
2017-02-09,13250.0,-0.9574872945438968,-1.0078473155549492,-0.9386494566727022,-0.8711689446191876,-0.9779288769330011,-1.3345618251726943,-1.2712376477659872,-1.3793789124119118,-1.421975334522524,-1.4265708199079419
2017-02-10,13100.0,-0.9066533846232083,-0.9569961788381613,-0.9337797590512603,-0.9390175498289818,-0.9669054007135073,-1.339235963138744,-1.2712376477659872,-1.3893572129410925,-1.421975334522524,-1.4265708199079419
2017-02-11,13200.0,-0.8727641113427492,-0.9061450421213736,-0.926475212619097,-1.0068661550387759,-0.9546570938029576,-1.3439101011047947,-1.2712376477659872,-1.3993355134702696,-1.421975334522524,-1.4265708199079419
2017-02-12,13220.454545454546,-0.8646952367521653,-0.8722442843101818,-0.9204460631830242,-0.9559797011314303,-0.9430503648734365,-1.3485842390708445,-1.2712376477659872,-1.409313813999451,-1.421975334522524,-1.4265708199079419
2017-02-13,13240.90909090909,-0.8566263621615777,-0.8641726753075185,-0.9181271595537672,-0.9050932472240847,-0.932085213924943,-1.3532583770368942,-1.2712376477659872,-1.41929211452863,-1.421975334522524,-1.4265708199079419
2017-02-14,13261.363636363636,-0.8485574875709925,-0.8561010663048516,-0.9049094088669969,-0.8711689446191876,-0.9217616409574807,-1.3579325150029449,-1.2712376477659872,-1.4292704150578095,-1.421975334522524,-1.4265708199079419
2017-02-15,13281.818181818182,-0.8404886129804073,-0.8480294573021873,-0.8807928111227119,-0.8630917297132612,-0.9120796459710484,-1.3626066529689946,-1.2712376477659872,-1.4292704150578095,-1.421975334522524,-1.4265708199079419
2017-02-16,13302.272727272728,-0.8324197383898221,-0.8399578482995228,-0.8628213079959631,-0.8550145148073311,-0.9030392289656423,-1.3672807909350444,-1.2712376477659872,-1.4292704150578095,-1.421975334522524,-1.4265708199079419
2017-02-17,13322.727272727272,-0.8243508637992369,-0.8318862392968583,-0.8509948994867454,-0.8469372999014035,-0.8946403899412648,-1.371954928901095,-1.2712376477659872,-1.4292704150578095,-1.421975334522524,-1.4265708199079419
2017-02-18,13343.181818181818,-0.8162819892086505,-0.8238146302941939,-0.8428787367843424,-0.838860084995476,-0.8868831288979161,-1.3766290668671448,-1.2712376477659872,-1.4292704150578095,-1.421975334522524,-1.4265708199079419
2017-02-19,13363.636363636364,-0.8082131146180653,-0.8157430212915282,-0.8347625740819405,-0.8307828700895484,-0.8797674458355974,-1.3813032048331946,-1.2712376477659872,-1.4292704150578095,-1.421975334522524,-1.4265708199079419
2017-02-20,13384.09090909091,-0.8001442400274801,-0.8076714122888639,-0.8266464113795363,-0.8227056551836208,-0.874518171445362,-1.3859773427992452,-1.2712376477659872,-1.4292704150578095,-1.421975334522524,-1.4265708199079419
2017-02-21,13404.545454545454,-0.7920753654368949,-0.7995998032861994,-0.818530248677132,-0.814628440277692,-0.8637863215808811,-1.390651480765295,-1.2712376477659872,-1.4292704150578095,-1.421975334522524,-1.4265708199079419
2017-02-22,13425.0,-0.7840064908463086,-0.7915281942835349,-0.8104140859747289,-0.8065512253717644,-0.8475718962421533,-1.3953256187313448,-1.2712376477659872,-1.4292704150578095,-1.421975334522524,-1.4265708199079419
2017-02-23,13445.454545454546,-0.7759376162557233,-0.7834565852808693,-0.8022979232723259,-0.7984740104658369,-0.8344487102665649,-1.3999997566973952,-1.2712376477659872,-1.4292704150578095,-1.421975334522524,-1.4265708199079419
2017-02-24,13465.90909090909,-0.7678687416651382,-0.7753849762782048,-0.7941817605699228,-0.7903967955599093,-0.8244167636541142,-1.4046738946634452,-1.2712376477659872,-1.4292704150578095,-1.421975334522524,-1.4265708199079419
2017-02-25,13486.363636363636,-0.7597998670745529,-0.7673133672755404,-0.7860655978675185,-0.7823195806539804,-0.8162512257137481,-1.409348032629495,-1.2712376477659872,-1.4292704150578095,-1.421975334522524,-1.4265708199079419
2017-02-26,13506.818181818182,-0.7517309924839666,-0.759241758272876,-0.7779494351651154,-0.7742423657480528,-0.8080856877733821,-1.4140221705955454,-1.2712376477659872,-1.4292704150578095,-1.421975334522524,-1.4265708199079419
2017-02-27,13527.272727272728,-0.7436621178933813,-0.7511701492702103,-0.7698332724627124,-0.7661651508421252,-0.7999201498330161,-1.4186963085615953,-1.2712376477659872,-1.4292704150578095,-1.421975334522524,-1.4265708199079419
2017-02-28,13547.727272727272,-0.7355932433027962,-0.7430985402675458,-0.7617171097603093,-0.7580879359361977,-0.7917546118926487,-1.423370446527645,-1.2712376477659872,-1.4292704150578095,-1.421975334522524,-1.4265708199079419
2017-03-01,13568.181818181818,-0.7275243687122109,-0.7350269312648814,-0.753600947057905,-0.7500107210302689,-0.7835890739522839,-1.426642343103881,-1.2712376477659872,-1.4262769248990557,-1.421975334522524,-1.3847923029016576
2017-03-02,13588.636363636364,-0.7194554941216258,-0.726955322262217,-0.7454847843555007,-0.7419335061243413,-0.7754235360119154,-1.4299142396801154,-1.2712376477659872,-1.4232834347403023,-1.421975334522524,-1.3847923029016576
