date,harga_beras_kateng,harga_beras_nasional,lag_nasional_1,rolling_nasional_7,lag_nasional_3,rolling_nasional_14,rolling_global_30,lag_global_30,rolling_global_14,lag_global_7,global_price
2017-02-07,13392.857142857143,0.25,0.2661290322580645,0.08979920674268715,0.25403225806451624,0.036721559719856245,0.02550091074681249,0.03412969283276457,0.017064846416382284,0.03412969283276457,0.0
2017-02-08,13400.0,0.2338709677419355,0.25,0.08837382250867609,0.25806451612903225,0.038614423622941985,0.02436247723132956,0.03412969283276457,0.014627011214041863,0.0,0.0
2017-02-09,13250.0,0.24596774193548399,0.2338709677419355,0.08837382250867609,0.2661290322580645,0.041264433087261576,0.023224043715847076,0.03412969283276457,0.012189176011701663,0.0,0.0
2017-02-10,13100.0,0.25806451612903225,0.24596774193548399,0.08979920674268715,0.25,0.04467158811281502,0.02208561020036437,0.03412969283276457,0.00975134080936102,0.0,0.0
2017-02-11,13200.0,0.2661290322580645,0.25806451612903225,0.0919372830937033,0.2338709677419355,0.04845731591898561,0.02094717668488144,0.03412969283276457,0.0073135056070212645,0.0,0.0
2017-02-12,13220.454545454546,0.268049155145929,0.2661290322580645,0.09370204452628883,0.24596774193548399,0.05204474369721446,0.019808743169398957,0.03412969283276457,0.004875670404680621,0.0,0.0
2017-02-13,13240.90909090909,0.26996927803379434,0.268049155145929,0.09438079892343643,0.25806451612903225,0.055433871447501115,0.01867030965391625,0.03412969283276457,0.0024378352023404215,0.0,0.0
2017-02-14,13261.363636363636,0.27188940092165903,0.26996927803379434,0.09824969898718017,0.2661290322580645,0.058624699169844696,0.017531876138433544,0.03412969283276457,0.0,0.0,0.0
2017-02-15,13281.818181818182,0.27380952380952395,0.27188940092165903,0.10530874471752005,0.268049155145929,0.061617226864245644,0.016393442622950838,0.03412969283276457,0.0,0.0,0.0
2017-02-16,13302.272727272728,0.27572964669738864,0.27380952380952395,0.11056909129541737,0.26996927803379434,0.06441145453070485,0.015255009107468132,0.03412969283276457,0.0,0.0,0.0
2017-02-17,13322.727272727272,0.27764976958525334,0.27572964669738864,0.11403073872087255,0.27188940092165903,0.06700738216922231,0.014116575591985425,0.03412969283276457,0.0,0.0,0.0
2017-02-18,13343.181818181818,0.2795698924731185,0.27764976958525334,0.11640637911089069,0.27380952380952395,0.06940500977979713,0.012978142076502719,0.03412969283276457,0.0,0.0,0.0
2017-02-19,13363.636363636364,0.28149001536098317,0.2795698924731185,0.11878201950090839,0.27572964669738864,0.07160433736242977,0.011839708561020013,0.03412969283276457,0.0,0.0,0.0
2017-02-20,13384.09090909091,0.28341013824884786,0.28149001536098317,0.12115765989092697,0.27764976958525334,0.07322679213650263,0.010701275045537306,0.03412969283276457,0.0,0.0,0.0
2017-02-21,13404.545454545454,0.2853302611367128,0.28341013824884786,0.12353330028094556,0.2795698924731185,0.07654381078571904,0.0095628415300546,0.03412969283276457,0.0,0.0,0.0
2017-02-22,13425.0,0.2872503840245777,0.2853302611367128,0.12590894067096325,0.28149001536098317,0.0815553933100781,0.008424408014572116,0.03412969283276457,0.0,0.0,0.0
2017-02-23,13445.454545454546,0.2891705069124424,0.2872503840245777,0.1282845810609814,0.28341013824884786,0.08561153024526114,0.007285974499089187,0.03412969283276457,0.0,0.0,0.0
2017-02-24,13465.90909090909,0.2910906298003073,0.2891705069124424,0.13066022145099954,0.2853302611367128,0.08871222159126768,0.006147540983606481,0.03412969283276457,0.0,0.0,0.0
2017-02-25,13486.363636363636,0.293010752688172,0.2910906298003073,0.13303586184101812,0.2872503840245777,0.09123604012871489,0.005009107468123997,0.03412969283276457,0.0,0.0,0.0
2017-02-26,13506.818181818182,0.29493087557603714,0.293010752688172,0.13541150223103626,0.2891705069124424,0.0937598586661621,0.0038706739526410683,0.03412969283276457,0.0,0.0,0.0
2017-02-27,13527.272727272728,0.29685099846390184,0.29493087557603714,0.1377871426210544,0.2910906298003073,0.09628367720360886,0.002732240437158584,0.03412969283276457,0.0,0.0,0.0
2017-02-28,13547.727272727272,0.29877112135176653,0.29685099846390184,0.14016278301107254,0.293010752688172,0.09880749574105652,0.0015938069216758777,0.03412969283276457,0.0,0.0,0.0
2017-03-01,13568.181818181818,0.30069124423963123,0.29877112135176653,0.14253842340109069,0.29493087557603714,0.10133131427850328,0.0007969034608377168,0.03412969283276457,0.0007313505607020598,0.0,0.010238907849829282
2017-03-02,13588.636363636364,0.30261136712749614,0.30069124423963123,0.14491406379110927,0.29685099846390184,0.10385513281595093,0.0,0.03412969283276457,0.0014627011214041197,0.0,0.010238907849829282
2017-03-03,13609.09090909091,0.3045314900153615,0.30261136712749614,0.14728970418112697,0.29877112135176653,0.10637895135339814,0.0003415300546447675,0.0,0.0021940516821066236,0.0,0.010238907849829282
2017-03-04,13629.545454545454,0.30645161290322576,0.3045314900153615,0.1496653445711451,0.30069124423963123,0.10890276989084535,0.000683060109289535,0.0,0.0029254022428082394,0.0,0.010238907849829282
2017-03-05,13650.0,0.25,0.30645161290322576,0.14172391812451313,0.30261136712749614,0.10594629674697842,0.0010245901639345245,0.0,0.0036567528035105212,0.0,0.010238907849829282
2017-03-06,13566.666666666666,0.25806451612903225,0.25,0.13486849871331774,0.3045314900153615,0.10356669641167082,0.001366120218579292,0.0,0.004388103364212581,0.0,0.010238907849829282
2017-03-07,13483.333333333334,0.2661290322580645,0.25806451612903225,0.12909908633755984,0.30645161290322576,0.101763968884923,0.0017076502732240595,0.0,0.005119453924914641,0.0,0.010238907849829282
